id,favorite_count,retweet_count
892420643555336193,35327,7456
892177421306343426,30574,5535
891815181378084864,23006,3661
891689557279858688,38616,7626
891327558926688256,36890,8226
891087950875897856,18613,2753
890971913173991426,10808,1781
890729181411237888,59513,16674
890609185150312448,25603,3806
890240255349198849,29202,6467
890006608113172480,28161,6478
889880896479866881,25628,4400
889665388333682689,43996,8842
889638837579907072,24750,3957
889531135344209921,13925,1994
889278841981685760,23105,4704
888917238123831296,26709,3963
888804989199671297,23439,3735
888554962724278272,18083,3056
888078434458587136,19978,3066
887705289381826560,27778,4774
887517139158093824,42522,10403
887473957103951883,62941,15887
887343217045368832,30883,9312
887101392804085760,28116,5266
886983233522544640,31904,6757
886736880519319552,10958,2812
886680336477933568,20638,3955
886366144734445568,19378,2797
886267009285017600,110,4
886258384151887873,25652,5591
886054160059072513,0,96
885984800019947520,29883,5940
885528943205470208,32965,5650
885518971528720385,18794,3295
885311592912609280,0,16341
885167619883638784,20072,3861
884925521741709313,70549,15949
884876753390489601,25507,4931
884562892145688576,22295,4149
884441805382717440,24872,5036
884247878851493888,66438,17939
884162670584377345,18731,2645
883838122936631299,20048,3022
883482846933004288,42026,8730
883360690899218434,20804,3259
883117836046086144,33991,5865
882992080364220416,21919,3427
882762694511734784,25913,4314
882627270321602560,25695,5365
882268110199369728,41109,10254
882045870035918850,26886,4299
881906580714921986,22355,3012
881666595344535552,46461,9442
881633300179243008,116,7
881536004380872706,45372,14154
881268444196462592,21375,4693
880935762899988482,15697,2476
880872448815771648,19547,3386
880465832366813184,26124,5502
880221127280381952,24732,3679
880095782870896641,25356,3857
879862464715927552,20545,3084
879674319642796034,291,10
879492040517615616,21566,2807
879415818425184262,97014,39538
879376492567855104,15477,2774
879130579576475649,0,6028
879050749262655488,20700,4161
879008229531029506,17477,2371
878776093423087618,17800,3627
878604707211726852,27602,6259
878404777348136964,0,1127
878316110768087041,0,5884
878281511006478336,7096,1127
878057613040115712,38714,6028
877736472329191424,72686,16779
877611172832227328,0,71
877556246731214848,20868,3382
877316821321428993,25228,4622
877201837425926144,24928,4930
876838120628539392,19038,2958
876537666061221889,21862,4174
876484053909872640,17285,2098
876120275196170240,25785,4138
875747767867523072,23112,3792
875144289856114688,20209,4369
875097192612077568,25295,5414
875021211251597312,23515,4190
874680097055178752,25647,4123
874434818259525634,0,12920
874296783580663808,24007,3675
874057562936811520,20956,3546
874012996292530176,31486,9084
873580283840344065,22344,3513
873337748698140672,0,1407
873213775632977920,6609,1407
872967104147763200,25147,4825
872820683541237760,13619,3327
872620804844003328,19142,3247
872486979161796608,37651,8110
872122724285648897,31616,7248
871879754684805121,34668,9773
871762521631449091,18694,3124
871515927908634625,18680,3116
871166179821445120,0,5119
871102520638267392,19353,4942
871032628920680449,21056,3413
870804317367881728,31155,5548
870726314365509632,112,3
870656317836468226,11399,2340
870374049280663552,77004,23925
870308999962521604,20324,3736
870063196459192321,33836,7476
869772420881756160,39523,9138
869702957897576449,26171,5669
869596645499047938,14808,2798
869227993411051520,18958,3390
868880397819494401,60633,12998
868639477480148993,0,1862
868622495443632128,24719,4765
868552278524837888,9351,1862
867900495410671616,22516,3779
867774946302451713,31596,6627
867421006826221569,14961,2257
867072653475098625,0,108
867051520902168576,29949,7141
866720684873056260,18620,4348
866686824827068416,17899,3139
866450705531457537,113748,32002
866334964761202691,48728,12920
866094527597207552,0,7609
865718153858494464,23966,5113
865359393868664832,24660,4544
865006731092295680,26164,7035
864873206498414592,30102,7907
864279568663928832,13634,2735
864197398364647424,27948,8029
863907417377173506,19263,3778
863553081350529029,14261,3819
863471782782697472,0,2208
863432100342583297,22220,4783
863427515083354112,2054,85
863079547188785154,8209,1013
863062471531167744,7890,2208
862831371563274240,17949,4705
862722525377298433,16019,3241
862457590147678208,19097,4495
862096992088072192,69348,21170
861383897657036800,33798,9806
861288531465048066,16087,3796
861005113778896900,15657,3500
860981674716409858,0,1964
860924035999428608,0,726
860563773140209665,7032,1964
860524505164394496,22199,4859
860276583193509888,17283,3241
860184849394610176,15657,5388
860177593139703809,0,28433
859924526012018688,18448,3791
859851578198683649,14531,3247
859607811541651456,17545,1425
859196978902773760,84471,27790
859074603037188101,31815,12597
858860390427611136,0,7496
858843525470990336,14719,3208
858471635011153920,20335,4502
858107933456039936,14873,2674
857989990357356544,15172,2396
857746408056729600,32311,9863
857393404942143489,5567,1524
857263160327368704,18992,4203
857214891891077121,213,17
857062103051644929,0,154
857029823797047296,17833,3695
856543823941562368,15514,2681
856526610513747968,11246,1752
856330835276025856,0,623
856288084350160898,488,15
856282028240666624,26314,5856
855862651834028034,316,22
855860136149123072,4643,907
855857698524602368,11284,1968
855851453814013952,43553,16899
855818117272018944,25353,5078
855459453768019968,28318,7696
855245323840757760,0,5560
855138241867124737,0,40
854732716440526848,21663,5686
854482394044301312,27836,6409
854365224396361728,18007,4405
854120357044912130,30512,6995
854010172552949760,15506,2964
853760880890318849,27279,5428
853639147608842240,33089,9409
853299958564483072,14827,3350
852936405516943360,0,1869
852912242202992640,8617,1703
852672615818899456,14286,2043
852553447878664193,15586,3276
852311364735569921,31753,9404
852226086759018497,19173,6491
852189679701164033,11008,1503
851861385021730816,0,19
851591660324737024,15643,3288
851464819735769094,23299,6706
851224888060895234,19898,5463
850753642995093505,29561,8610
850380195714523136,12623,2471
850333567704068097,3328,311
850145622816686080,15723,3601
850019790995546112,19654,4631
849776966551130114,29256,7208
849668094696017920,0,4721
849412302885593088,15306,2993
849336543269576704,11015,1800
849051919805034497,40811,8049
848690551926992896,24327,4130
848324959059550208,23872,4414
848213670039564288,7886,684
848212111729840128,15758,2882
847978865427394560,0,3114
847971574464610304,0,419
847962785489326080,22740,4843
847842811428974592,5234,1260
847617282490613760,6754,391
847606175596138505,18160,3274
847251039262605312,19839,4131
847157206088847362,19215,5598
847116187444137987,20781,3045
846874817362120707,19425,3751
846514051647705089,43138,11038
846505985330044928,13671,2933
846153765933735936,30552,8653
846139713627017216,30083,9645
846042936437604353,15495,2740
845812042753855489,28309,8318
845677943972139009,24423,4619
845397057150107648,7384,1712
845306882940190720,22625,5155
845098359547420673,0,7342
844979544864018432,13242,2442
844973813909606400,14598,3044
844580511645339650,15983,2982
844223788422217728,13277,2095
843981021012017153,14746,2843
843856843873095681,20847,4427
843604394117681152,16427,2628
843235543001513987,20909,5773
842846295480000512,14880,3496
842765311967449089,6544,1214
842535590457499648,17649,3380
842163532590374912,23783,5560
842115215311396866,13602,2903
841833993020538882,0,14456
841680585030541313,25111,7552
841439858740625411,12303,3539
841320156043304961,19301,5320
841314665196081154,15441,4476
841077006473256960,22275,5119
840761248237133825,0,1700
840728873075638272,0,15468
840698636975636481,170,2
840696689258311684,11979,938
840632337062862849,8769,1700
840370681858686976,16036,4397
840268004936019968,18781,5534
839990271299457024,13122,2199
839549326359670784,26789,7496
839290600511926273,0,139
839239871831150596,26465,6302
838952994649550848,19214,3867
838921590096166913,10875,1972
838916489579200512,0,33
838831947270979586,0,10656
838561493054533637,10725,1284
838476387338051585,21963,4601
838201503651401729,0,9714
838150277551247360,1629,321
838085839343206401,138,1
838083903487373313,17236,3017
837820167694528512,33295,7609
837482249356513284,3772,428
837471256429613056,12516,2191
837110210464448512,15704,2295
836989968035819520,12491,2236
836753516572119041,18946,4512
836677758902222849,12379,2163
836648853927522308,0,535
836397794269200385,0,26687
836380477523124226,14480,2903
836260088725786625,20904,4187
836001077879255040,18695,4143
835685285446955009,0,7894
835574547218894849,17448,3512
835536468978302976,0,1640
835309094223372289,0,20348
835297930240217089,16156,2913
835264098648616962,7575,1640
835246439529840640,2059,71
835172783151792128,25670,5601
835152434251116546,21929,2914
834931633769889797,10586,1582
834786237630337024,21017,5370
834574053763584002,13386,2450
834477809192075265,0,10356
834458053273591808,9452,1630
834209720923721728,20150,4621
834167344700198914,15534,3563
834089966724603904,9851,2077
834086379323871233,12821,2149
833863086058651648,13201,2343
833826103416520705,17768,3679
833732339549220864,0,215
833722901757046785,20469,3150
833479644947025920,14603,1985
833124694597443584,19847,4721
832998151111966721,13015,2131
832769181346996225,0,38
